State,Payment
AZ,4.812691543000007E7
SC,2.1677556360000014E7
LA,2.0681245959999986E7
MN,3.980350835999997E7
NJ,4.689446883E7
DC,1.896325826E7
OR,1.3983803189999994E7
VA,4.444732237999999E7
RI,5908068.859999993
KY,2.5518685460000005E7
WY,1513666.66
NH,5797179.889999999
MI,8.082860071000014E7
NV,1.898912990999997E7
WI,2.5482874730000015E7
ID,6280871.8000000045
CA,3.670496765699996E8
CT,2.5045189139999997E7
NE,7702576.320000002
MT,1422622.860000001
NC,7.051565946999998E7
VT,1406537.5999999999
MD,4.2213850919999994E7
DE,3657454.8299999977
MO,3.980629224999992E7
VI,4148.4400000000005
IL,8.337306844000004E7
ME,2541730.1099999985
GU,8865.659999999996
WA,1.5752976557000026E8
ND,2471139.5100000002
MS,1.1093445509999992E7
AL,2.3862027170000017E7
IN,3.677604556000001E7
AE,49624.01000000001
OH,8.856115211000028E7
TN,5.69172485499998E7
IA,1.4911167160000002E7
NM,4512105.74
PA,1.0332727193E8
SD,4669846.819999999
NY,1.6134755553999993E8
TX,1.647740767200005E8
WV,5700396.990000001
GA,5.463131830000002E7
MA,2.1790693722000003E8
AS,102.8
KS,2.6362800319999985E7
FL,1.813621022799996E8
CO,5.9079604870000064E7
AK,1003332.04
AR,9067207.490000002
OK,1.6221515059999995E7
PR,4595188.930000002
AP,24963.92
MP,142.4
UT,7.08860960699999E7
HI,4195245.27
